-1825, 231, -49
-1974, 231, -49
-1974, 231, -49
-2011, 205, -75
-2011, 205, -75
-2011, 218, -46
-2116, 218, -46
-2116, 218, -46
-2319, 221, -41
-2319, 221, -41
-2425, 198, -55
-2425, 198, -55
-2425, 198, -43
-2589, 123, -43
-2589, 123, -43
-2953, 4, -37
-2953, 4, -37
-2953, 4, -22
-3284, -65, -22
-3284, -65, -22
-3512, 8, -18
-3512, 8, -18
-3512, 8, -41
-3601, 188, -41
-3601, 188, -41
-3802, 257, -37
-3802, 257, -37
-3802, 257, -51
-3564, 329, -51
-3564, 329, -51
-2938, 398, -69
-2938, 398, -69
-2938, 313, -26
-2634, 313, -26
-2634, 313, -26
-2565, 331, -25
-2565, 331, -25
-2565, 354, -20
-2433, 354, -20
-2433, 354, -20
-2557, 360, -32
-2557, 360, -32
-2557, 296, -29
-2221, 296, -29
-2221, 296, -29
-1745, 263, -28
-1745, 263, -28
-1893, 278, -18
-1893, 278, -18
-1893, 278, -17
-1920, 356, -17
-1920, 356, -17
-1956, 382, 0
-1956, 382, 0
-1956, 382, -4
-2027, 341, -4
-2027, 341, -4
-1766, 330, -35
-1766, 330, -35
-1766, 330, -34
-1358, 351, -34
-1358, 351, -34
-1007, 375, -46
-1007, 375, -46
-1007, 349, -42
-866, 349, -42
-866, 349, -42
-814, 329, -44
-814, 329, -44
-814, 329, -43
-873, 314, -43
-873, 314, -43
-1109, 344, -20
-1109, 344, -20
-1109, 344, -21
-1665, 452, -21
-1665, 452, -21
-2310, 600, -28
-2310, 600, -28
-2310, 472, -21
-2331, 472, -21
-2331, 472, -21
-2251, 303, -26
-2251, 303, -26
-2251, 372, -33
-2190, 372, -33
-2190, 372, -33
-2243, 628, -47
-2243, 628, -47
-2409, 894, -49
-2409, 894, -49
-2409, 894, -56
-2545, 1057, -56
-2545, 1057, -56
-2718, 1149, -90
-2718, 1149, -90
-2718, 1128, -88
-2711, 1128, -88
-2711, 1128, -88
-2809, 1007, -50
-2809, 1007, -50
-2809, 756, -34
-2910, 756, -34
-2910, 756, -34
-2862, 496, -29
-2862, 496, -29
